ticker,fossil_fuel,defense,gambling,tobacco,alcohol,private_prisons,adult_entertainment,controversial_weapons
PODD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INTC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IBKR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ICE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IFF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INTU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ISRG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IVZ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INVH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IQV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IRM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JBHT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JBL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JKHY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
J,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JNJ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JCI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JPM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KVUE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KDP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KEY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KEYS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KMB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KIM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KMI,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KKR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KLAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KHC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LHX,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00
LH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LRCX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LVS,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00
LDOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LEN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LII,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LLY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LYV,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LMT,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00
L,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LOW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LULU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LYB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MTB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MPC,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MMC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MLM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MTCH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MKC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
